,Calendar
160,Ne 16.5.   Volná kapacita 356 z 360     Po 17.5.   Volná kapacita 358 z 360     Út 18.5.   Volná kapacita 359 z 360     St 19.5.   Volná kapacita 358 z 360     Čt 20.5.   Volná kapacita 357 z 360     Pá 21.5.   Volná kapacita 359 z 360     So 22.5.   Volná kapacita 360 z 360
161,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 51 z 66     Út 18.5.   Volná kapacita 64 z 66     St 19.5.   Volná kapacita 64 z 66     Čt 20.5.   Volná kapacita 60 z 66     Pá 21.5.   Volná kapacita 64 z 66     So 22.5.   Zavřeno
162,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
163,Ne 16.5.   Volná kapacita161 z 336     Po 17.5.   Volná kapacita 188 z 288     Út 18.5.   Volná kapacita 206 z 288     St 19.5.   Volná kapacita 220 z 288     Čt 20.5.   Volná kapacita 238 z 288     Pá 21.5.   Volná kapacita 258 z 288     So 22.5.   Zavřeno
164,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita4 z 72     Út 18.5.   Maximální kapacita     St 19.5.   Maximální kapacita     Čt 20.5.   Volná kapacita11 z 72     Pá 21.5.   Maximální kapacita     So 22.5.   Zavřeno
165,Ne 16.5.   Zavřeno     Po 17.5.   Maximální kapacita     Út 18.5.   Volná kapacita3 z 255     St 19.5.   Maximální kapacita     Čt 20.5.   Volná kapacita8 z 255     Pá 21.5.   Volná kapacita6 z 255     So 22.5.   Volná kapacita8 z 255
166,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
167,Ne 16.5.   Maximální kapacita     Po 17.5.   Maximální kapacita     Út 18.5.   Volná kapacita1 z 132     St 19.5.   Volná kapacita19 z 132     Čt 20.5.   Volná kapacita23 z 132     Pá 21.5.   Zavřeno     So 22.5.   Zavřeno
168,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 31 z 48     Út 18.5.   Volná kapacita 39 z 48     St 19.5.   Volná kapacita 39 z 48     Čt 20.5.   Volná kapacita 42 z 48     Pá 21.5.   Volná kapacita 46 z 48     So 22.5.   Zavřeno
169,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 25 z 47     Út 18.5.   Zavřeno     St 19.5.   Zavřeno     Čt 20.5.   Zavřeno     Pá 21.5.   Volná kapacita 44 z 48     So 22.5.   Zavřeno
170,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 26 z 40     Út 18.5.   Volná kapacita 38 z 40     St 19.5.   Volná kapacita 35 z 40     Čt 20.5.   Volná kapacita 40 z 40     Pá 21.5.   Volná kapacita 39 z 40     So 22.5.   Zavřeno
171,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
172,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
173,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 43 z 48     Út 18.5.   Zavřeno     St 19.5.   Volná kapacita 48 z 48     Čt 20.5.   Zavřeno     Pá 21.5.   Volná kapacita 48 z 48     So 22.5.   Zavřeno
174,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita 136 z 168     Út 18.5.   Volná kapacita 137 z 146     St 19.5.   Volná kapacita 138 z 145     Čt 20.5.   Volná kapacita 139 z 146     Pá 21.5.   Volná kapacita 138 z 145     So 22.5.   Volná kapacita 117 z 122
175,Ne 16.5.   Zavřeno     Po 17.5.   Maximální kapacita     Út 18.5.   Maximální kapacita     St 19.5.   Maximální kapacita     Čt 20.5.   Maximální kapacita     Pá 21.5.   Maximální kapacita     So 22.5.   Zavřeno
176,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 37 z 48     Út 18.5.   Zavřeno     St 19.5.   Volná kapacita 43 z 48     Čt 20.5.   Zavřeno     Pá 21.5.   Volná kapacita 44 z 48     So 22.5.   Zavřeno
177,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita8 z 34     Út 18.5.   Volná kapacita 48 z 60     St 19.5.   Volná kapacita 66 z 78     Čt 20.5.   Volná kapacita 47 z 60     Pá 21.5.   Volná kapacita 11 z 12     So 22.5.   Volná kapacita 56 z 60
178,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
179,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 123 z 160     Út 18.5.   Volná kapacita 145 z 160     St 19.5.   Volná kapacita 148 z 160     Čt 20.5.   Volná kapacita 154 z 160     Pá 21.5.   Volná kapacita 159 z 160     So 22.5.   Volná kapacita 100 z 100
180,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita 104 z 122     Út 18.5.   Volná kapacita 114 z 127     St 19.5.   Volná kapacita 118 z 120     Čt 20.5.   Volná kapacita 120 z 120     Pá 21.5.   Volná kapacita 115 z 120     So 22.5.   Maximální kapacita
181,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 226 z 240     Út 18.5.   Volná kapacita 235 z 240     St 19.5.   Volná kapacita 235 z 240     Čt 20.5.   Volná kapacita 240 z 240     Pá 21.5.   Volná kapacita 236 z 240     So 22.5.   Zavřeno
182,Ne 16.5.   Zavřeno     Po 17.5.   Maximální kapacita     Út 18.5.   Volná kapacita 242 z 256     St 19.5.   Volná kapacita 244 z 256     Čt 20.5.   Volná kapacita 245 z 256     Pá 21.5.   Volná kapacita 253 z 256     So 22.5.   Zavřeno
183,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
184,Ne 16.5.   Maximální kapacita     Po 17.5.   Maximální kapacita     Út 18.5.   Volná kapacita 103 z 112     St 19.5.   Volná kapacita 107 z 112     Čt 20.5.   Volná kapacita 111 z 112     Pá 21.5.   Volná kapacita 111 z 112     So 22.5.   Maximální kapacita
185,Ne 16.5.   Zavřeno     Po 17.5.   Maximální kapacita     Út 18.5.   Volná kapacita 183 z 216     St 19.5.   Volná kapacita 203 z 216     Čt 20.5.   Volná kapacita 209 z 216     Pá 21.5.   Volná kapacita 203 z 216     So 22.5.   Volná kapacita 110 z 120
186,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
187,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
188,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
189,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
190,Ne 16.5.   Volná kapacita 49 z 54     Po 17.5.   Volná kapacita 51 z 54     Út 18.5.   Volná kapacita 53 z 54     St 19.5.   Volná kapacita 54 z 54     Čt 20.5.   Volná kapacita 54 z 54     Pá 21.5.   Volná kapacita 53 z 54     So 22.5.   Volná kapacita 53 z 54
191,Ne 16.5.   Zavřeno     Po 17.5.   Maximální kapacita     Út 18.5.   Zavřeno     St 19.5.   Volná kapacita 12 z 12     Čt 20.5.   Volná kapacita 12 z 12     Pá 21.5.   Zavřeno     So 22.5.   Zavřeno
192,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita21 z 87     Út 18.5.   Volná kapacita 52 z 84     St 19.5.   Volná kapacita 66 z 84     Čt 20.5.   Volná kapacita 72 z 84     Pá 21.5.   Volná kapacita 67 z 84     So 22.5.   Zavřeno
193,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 49 z 87     Út 18.5.   Volná kapacita 71 z 87     St 19.5.   Volná kapacita 69 z 87     Čt 20.5.   Volná kapacita 75 z 87     Pá 21.5.   Volná kapacita 73 z 87     So 22.5.   Zavřeno
194,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 45 z 87     Út 18.5.   Volná kapacita 42 z 57     St 19.5.   Volná kapacita 50 z 57     Čt 20.5.   Volná kapacita 50 z 57     Pá 21.5.   Volná kapacita 86 z 87     So 22.5.   Zavřeno
195,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
196,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
197,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
198,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
199,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
200,Ne 16.5.   Zavřeno     Po 17.5.   Zavřeno     Út 18.5.   Maximální kapacita     St 19.5.   Maximální kapacita     Čt 20.5.   Zavřeno     Pá 21.5.   Maximální kapacita     So 22.5.   Zavřeno
201,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
202,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Zavřeno     St 19.5.   Žádná data     Čt 20.5.   Zavřeno     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
203,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
204,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Zavřeno     So 22.5.   Zavřeno
205,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Zavřeno     Pá 21.5.   Zavřeno     So 22.5.   Zavřeno
206,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita81 z 168     Út 18.5.   Volná kapacita 108 z 126     St 19.5.   Volná kapacita 90 z 126     Čt 20.5.   Volná kapacita 111 z 126     Pá 21.5.   Volná kapacita 81 z 108     So 22.5.   Zavřeno
207,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
208,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
209,Ne 16.5.   Volná kapacita 281 z 335     Po 17.5.   Volná kapacita 847 z 864     Út 18.5.   Volná kapacita 852 z 864     St 19.5.   Volná kapacita 859 z 864     Čt 20.5.   Volná kapacita 859 z 864     Pá 21.5.   Volná kapacita 858 z 864     So 22.5.   Volná kapacita 864 z 864
210,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
211,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
212,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 32 z 48     Út 18.5.   Maximální kapacita     St 19.5.   Maximální kapacita     Čt 20.5.   Maximální kapacita     Pá 21.5.   Maximální kapacita     So 22.5.   Zavřeno
213,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 63 z 68     Út 18.5.   Volná kapacita 69 z 71     St 19.5.   Volná kapacita 72 z 72     Čt 20.5.   Volná kapacita 71 z 72     Pá 21.5.   Volná kapacita 44 z 46     So 22.5.   Zavřeno
214,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Zavřeno     St 19.5.   Zavřeno     Čt 20.5.   Žádná data     Pá 21.5.   Zavřeno     So 22.5.   Zavřeno
215,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita 39 z 60     Út 18.5.   Volná kapacita 58 z 60     St 19.5.   Volná kapacita 56 z 60     Čt 20.5.   Volná kapacita 57 z 60     Pá 21.5.   Volná kapacita 59 z 60     So 22.5.   Volná kapacita 47 z 48
216,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
217,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
218,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
219,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
220,Ne 16.5.   Zavřeno     Po 17.5.   Maximální kapacita     Út 18.5.   Volná kapacita11 z 30     St 19.5.   Volná kapacita5 z 15     Čt 20.5.   Volná kapacita3 z 30     Pá 21.5.   Volná kapacita8 z 30     So 22.5.   Zavřeno
221,Ne 16.5.   Volná kapacita5 z 16     Po 17.5.   Maximální kapacita     Út 18.5.   Volná kapacita 30 z 30     St 19.5.   Volná kapacita 29 z 30     Čt 20.5.   Volná kapacita 30 z 30     Pá 21.5.   Volná kapacita 30 z 32     So 22.5.   Maximální kapacita
222,Ne 16.5.   Volná kapacita1 z 8     Po 17.5.   Volná kapacita 5 z 7     Út 18.5.   Volná kapacita 30 z 30     St 19.5.   Volná kapacita 30 z 30     Čt 20.5.   Volná kapacita 30 z 30     Pá 21.5.   Volná kapacita 30 z 30     So 22.5.   Maximální kapacita
223,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita5 z 34     Út 18.5.   Volná kapacita 11 z 22     St 19.5.   Volná kapacita 53 z 60     Čt 20.5.   Volná kapacita 56 z 61     Pá 21.5.   Volná kapacita 55 z 65     So 22.5.   Maximální kapacita
224,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
225,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
226,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 16 z 24     Út 18.5.   Volná kapacita 16 z 24     St 19.5.   Volná kapacita 22 z 24     Čt 20.5.   Volná kapacita 26 z 26     Pá 21.5.   Volná kapacita 21 z 22     So 22.5.   Zavřeno
227,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 20 z 24     Út 18.5.   Volná kapacita 17 z 24     St 19.5.   Volná kapacita 21 z 24     Čt 20.5.   Volná kapacita 23 z 24     Pá 21.5.   Volná kapacita9 z 24     So 22.5.   Zavřeno
228,Ne 16.5.   Volná kapacita 92 z 108     Po 17.5.   Volná kapacita 98 z 108     Út 18.5.   Volná kapacita 102 z 108     St 19.5.   Volná kapacita 97 z 108     Čt 20.5.   Volná kapacita 100 z 108     Pá 21.5.   Volná kapacita 92 z 108     So 22.5.   Volná kapacita 107 z 108
229,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 33 z 47     Út 18.5.   Volná kapacita 44 z 46     St 19.5.   Volná kapacita 44 z 45     Čt 20.5.   Volná kapacita 44 z 45     Pá 21.5.   Volná kapacita 45 z 45     So 22.5.   Zavřeno
230,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 13 z 21     Út 18.5.   Volná kapacita 19 z 21     St 19.5.   Volná kapacita 20 z 20     Čt 20.5.   Volná kapacita 17 z 20     Pá 21.5.   Volná kapacita 20 z 20     So 22.5.   Zavřeno
231,Ne 16.5.   Zavřeno     Po 17.5.   Maximální kapacita     Út 18.5.   Maximální kapacita     St 19.5.   Maximální kapacita     Čt 20.5.   Maximální kapacita     Pá 21.5.   Maximální kapacita     So 22.5.   Zavřeno
232,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 16 z 21     Út 18.5.   Volná kapacita 18 z 20     St 19.5.   Volná kapacita 20 z 20     Čt 20.5.   Volná kapacita 18 z 20     Pá 21.5.   Volná kapacita 18 z 20     So 22.5.   Zavřeno
233,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 16 z 23     Út 18.5.   Volná kapacita 20 z 24     St 19.5.   Volná kapacita 18 z 20     Čt 20.5.   Volná kapacita 19 z 20     Pá 21.5.   Volná kapacita 19 z 20     So 22.5.   Zavřeno
234,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 24 z 32     Út 18.5.   Volná kapacita 28 z 30     St 19.5.   Volná kapacita 28 z 31     Čt 20.5.   Volná kapacita 28 z 30     Pá 21.5.   Volná kapacita 40 z 40     So 22.5.   Zavřeno
235,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
236,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
237,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
238,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
239,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
240,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
241,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
